post_id,board,category,title,author,comment_count,view_count,like_count,created_date,has_image,image_count,post_url,search_keywords,search_boards,content
64998823,name,1,니트,Unknown,0,21,0,2025-11-23 23:55,False,0,https://www.instiz.net/name/64998823,에이블리,name,"흰색 니트 좀 루즈핏에 꽈배기고 너무 길지 않은거 추천 좀 부탁해 🙏
이왕이면 에이블리에서….."
64998677,name,1,무신사 아우터 살말해주라!!,Unknown,2,96,0,2025-11-23 23:41,True,2,https://www.instiz.net/name/64998677,무신사,name,꾸꾸보단 독서실 다닐때 편하게 입을 용도야!!
64998179,name,1,27살이 에이블리나 지그재그 도 모르고 무신사에서도 옷을 안 살 수가 있나?,Unknown,8,79,0,2025-11-23 23:01,False,0,https://www.instiz.net/name/64998179,"무신사,에이블리,지그재그",name,"같이 알바하는 언니가 27살인데 요즘 블프하잖아 그래서 언니한테 옷 샀냐고 물어봤지
에이블리나 지그재그는 모르는 눈치였고 무신사는 비싸서 안 쓴다함.....
평소에 화장도 눈썹은 그리다가 지워진채로 오고 입술은 걍 개빨간 립스틱?? 그런거 바르고 오던데 그럴수가 있나....?ㅜ"
64997292,name,1,왤케 무신사 에 돈쓰기 아깝지,Unknown,18,503,0,2025-11-23 21:38,False,0,https://www.instiz.net/name/64997292,"무신사,에이블리",name,"백화점 브랜드마냥 근본 있는 것도 아닌데 가격은 드럽게 비싸서 킹받음…
디브면서 왜 비싼거지 ㅋㅋ쿠ㅜㅜ
결국은 걍 에이블리나 백화점 가게되는 듯.."
64997096,name,1,무신사 내 인생바지 쟁일까 말까ㅠ?,Unknown,5,49,0,2025-11-23 21:16,False,0,https://www.instiz.net/name/64997096,무신사,name,ㅈ 내 인생 바지 지금 무신사 블프 세일하는데 쟁일까 말까.. 평소에 세일 잘 안함ㅠ
64997017,name,1,지그재그 직진배송 받아본 사람,Unknown,4,734,0,2025-11-23 21:06,True,1,https://www.instiz.net/name/64997017,지그재그,name,이러면 12시쯤 오는겨? 도착하면 알림도 오지…?
64996537,name,1,와 에이블리 50퍼 성공함,Unknown,7,359,0,2025-11-23 20:05,False,0,https://www.instiz.net/name/64996537,에이블리,name,3일동안 도전했는데 됐다!!! 쇼핑해야지잌 !!!!!!!!!!!!
64996091,name,1,무신사 상품준비중이면 취소못해??,Unknown,0,24,0,2025-11-23 19:06,False,0,https://www.instiz.net/name/64996091,무신사,name,"금요일에 결제한건데
주문내역 아무리 뒤져봐도 취소버튼이없음 샤갈.."
64995606,name,1,무신사 블프지만 무신사 에 없는 브랜드만 사고있음,Unknown,4,286,0,2025-11-23 17:55,False,0,https://www.instiz.net/name/64995606,무신사,name,정가주며^^
64995527,name,1,무신사 스탠다드 오프라인 매장이 더 싸네..!??,Unknown,1,66,0,2025-11-23 17:43,True,2,https://www.instiz.net/name/64995527,무신사,name,난 무조건 온라인이 더 쌀 줄 알고 나중에 온라인으로 결제했는데.. 오프라인이 더 싼게 생각보다 많다.. 걍 사가는게 더 이득인가..
64995281,name,1,노페 눕시패딩 스테디 맞니,Unknown,2,151,0,2025-11-23 17:05,False,0,https://www.instiz.net/name/64995281,무신사,name,나 지금 무신사에서 결제직전.. 사도 되겠지….
64994970,name,1,"이번달 진짜 많이 삼,,,기념으로 산거볼사람❤️",Unknown,56,1810,0,2025-11-23 16:14,True,31,https://www.instiz.net/name/64994970,"무신사,직잭",name,"자라,직잭,무신사,크림,쉬인 다 털었따"
64994798,name,1,히트텍은 유니클로야? 에이블리 에도 저렴한거 많길래ㅠ,Unknown,7,356,0,2025-11-23 15:50,False,0,https://www.instiz.net/name/64994798,에이블리,name,유클 은근 비싸서ㅠ
64993935,name,1,반품비 만원은 선 넘은 거 아니냐…,Unknown,0,19,0,2025-11-23 13:39,False,0,https://www.instiz.net/name/64993935,에이블리,name,에이블리에서 옷 샀는데 반품비 마넌… 이거 맞나…
64993505,name,1,무신사 바지는 왜 이렇게 세부 사이즈가단이 안 맞을까,Unknown,0,10,0,2025-11-23 12:32,False,0,https://www.instiz.net/name/64993505,무신사,name,ㅋㅋ 보고 사는게 의미가 없음
